ID,COLL_NOM,COLL_INSEE,ARR_REF,ARR_DATE,ARR_OBJET,ARR_CONSIDERANT,ARR_URL,REGL_ARTICLE,REGL_SOUS_ARTICLE,VEH_TONNAGE,INTERV_JH,INTERV_REGIME,INTERV_DUREE,INTERV_DISQUE,EMPRISE_ZONE,EMPRISE_DESIGNATION,EMPRISE_COTE,EMPRISE_LONGUEUR,EMPRISE_LARGEUR,EMPRISE_DEBATTEMENT,STATIONNEMENT_LOCALISATION,STATIONNEMENT_TYPE,IRVE_PRESENCE,IRVE_PUISSANCE,GEOM_XY,GEOM_WKT
1,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,100 rue des Alisiers,Droit,12,,,,,,,"1,1",
2,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,100 rue des Alisiers,Droit,12,,,,,,,"1,1",
3,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,7 rue d’Alger,,10,,,,,,,"1,1",
4,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,7 rue d’Alger,,10,,,,,,,"1,1",
5,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,20 Promenade Amiral de Grasse,,13,,,,,,,"1,1",
6,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,20 Promenade Amiral de Grasse,,13,,,,,,,"1,1",
7,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,Aude (place Jean) au droit du « boucher-traiteur »,Droit,10,,,,,,,"1,1",
8,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,Aude (place Jean) au droit du « boucher-traiteur »,Droit,10,,,,,,,"1,1",
9,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,Cannes (avenue de) au numéro 46 sur 10 mètres linéaire,,10,,,,,,,"1,1",
10,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,Cannes (avenue de) au numéro 46 sur 10 mètres linéaire,,10,,,,,,,"1,1",
11,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,Cannes (avenue de) au numéro 55 au droit de la clinique vétérinaire,,,,,,,,,"1,1",
12,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,Cannes (avenue de) au numéro 55 au droit de la clinique vétérinaire,,,,,,,,,"1,1",
13,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,Chancel (avenue Gustave) au droit du numéro 7,Droit,,,,,,,,"1,1",
14,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,3.5,10:00-19:00,,,,,Chancel (avenue Gustave) au droit du numéro 7,Droit,,,,,,,,"1,1",
15,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",,1;2,,19,06:00-10:00,,,,,116 chemin de la Colle,,,,,,,,,"1,1",
