ARR_PRESENT,ARR_URL,ACTIVE,UUID,ID,NOM,DATE_MAJ,LATITUDE,LONGITUDE,GEOM_WKT,ADRESSE,CODE_POSTAL,COMMUNE,DISPOSITION,PARITE_TROTTOIR,LOCALISATION,LONGUEUR,LARGEUR,MARQUAGE_ETAT,MARQUAGE_CONFORMITE,TYPE,PANNEAU_PRESENT,PANNEAU_ETAT,DUREE_MAX,DUREE_CONTROLE,TEMPORALITE_CDS,TEMPORALITE_OSM,EQUIPEMENT,IRVE_PUISSANCE,ABAISSEMENT_TROTTOIR,COMMENTAIRE
oui,,oui,828e1140-523c-4a41-b466-ab1b64a4a4bd,GL-2300,grand_lyon_20,2025-10-22T14:25:05Z,45.769656,4.855184,"POLYGON(4.855154 45.769666, 4.855176 45.769668, 4.855190 45.769583, 4.855168 45.769581, 4.855154 45.769666)","27 Rue Ney, 69006 Lyon",69006,Lyon,parallèle,pair,encoche,900,180,dégradé,non,aire permanente,oui,dégradé,,,,,,,non,Autre équipement : Feu piéton
oui,,oui,11346768-d01a-434a-bf41-16a1bd7fd32d,GL-2301,grand_lyon_23,2025-10-22T14:30:20Z,45.773018,4.848837,,"48 Rue Duquesne, 69006 Lyon",69006,Lyon,parallèle,pair,encoche,1000,200,dégradé,oui,aire périodique,oui,dégradé,30,disque horodateur,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri"",""sat""],""times_of_day"":[[""08:00"",""19:00""]]}]",Mo-Sa 08:00-19:00,,,non,Autre équipement : Arret de bus + feu de signalisation
oui,,oui,c286e6d2-3a3d-47b8-ae8f-7f4a55a72727,GL-2302,grand_lyon_177,2025-10-24T12:18:15Z,45.752974,4.869860,,"71 Rue du Dauphiné, 69003 Lyon",69003,Lyon,parallèle,inconnu,chaussée,1500,200,dégradé,oui,aire permanente,oui,dégradé,30,disque horodateur,,,,,oui,Autre équipement : Poteau tricolore
oui,,oui,c68e8895-48a5-4e5b-b6fa-4199e50c35fb,GL-2303,grand_lyon_721,2025-10-31T09:38:26Z,45.758914,4.834005,,"100 Rue Président Edouard Herriot, 69002 Lyon",69002,Lyon,parallèle,pair,encoche,1100,200,dégradé,oui,aire périodique,oui,dégradé,,,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri""],""times_of_day"":[[""13:00"",""19:00""]]},{""days_of_week"":[""sat""],""times_of_day"":[[""09:00"",""19:00""]]}]",Mo-Fr 13:00-19:00; Sa 09:00-19:00,,,non,Autre équipement : Borne de paiement parking
oui,,oui,02b8b4ab-b99a-4160-9e9d-96423ef1c192,GL-2304,grand_lyon_763,2025-10-31T13:16:40Z,45.770431,4.867317,,"27 Rue des Charmettes, 69100 Villeurbanne",69100,Villeurbanne,parallèle,impair,chaussée,1040,230,bon état,oui,aire périodique,oui,dégradé,,,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri""],""times_of_day"":[[""08:00"",""12:00""],[""14:00"",""19:00""]]}]","Mo-Fr 08:00-12:00,14:00-19:00",,,non,
oui,,oui,132b150b-f9eb-40f7-ac76-965df2006f97,GL-2305,grand_lyon_765,2025-10-31T13:20:30Z,45.763840,4.832901,,"5 Rue Dubois, 69002 Lyon",69002,Lyon,parallèle,impair,encoche,520,250,dégradé,oui,aire permanente,oui,dégradé,,,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri"",""sat""],""times_of_day"":[[""07:00"",""19:00""]]}]",Mo-Sa 07:00-19:00,,,non,Aire de livraison dédiée aux 2 roues
oui,,oui,7fe3fec2-9787-4134-90ab-e6a0e9e1ec36,GL-2306,grand_lyon_779,2025-10-31T13:51:23Z,45.761627,4.834142,,"72 Rue Président Edouard Herriot, 69002 Lyon",69002,Lyon,parallèle,pair,encoche,490,210,dégradé,oui,aire périodique,non,n/a,,,,,,,non,Pas de panneau de signalisation
oui,,non,0c3217c8-bf2b-45e6-92c5-d0e9df671ee7,GL-2307,grand_lyon_835,2025-11-04T09:25:50Z,45.754688,4.841849,,"15 Rue Passet, 69007 Lyon",69007,Lyon,parallèle,impair,chaussée,2950,200,dégradé,oui,aire périodique,oui,dégradé,30,disque horodateur,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri"",""sat""],""times_of_day"":[[""07:00"",""19:00""]]}]",Mo-Sa 07:00-19:00,,,non,Engins de chantier sur place
oui,,oui,c2c8098f-a408-424d-a005-80881a254701,GL-2308,grand_lyon_927,2025-11-08T08:08:24Z,45.789665,4.815533,,"5 Rue Arsène Claudy, 69009 Lyon",69009,Lyon,parallèle,impair,encoche,1510,240,dégradé,non,aire permanente,oui,dégradé,,,,,,,non,Marquage périodique Pas de contrôle de durée
oui,,oui,88a1a815-0baf-465c-b1fe-b0835a4f119b,GL-2309,grand_lyon_1025,2025-11-09T09:31:36Z,45.775047,4.808089,,"2 Rue Marietton, 69009 Lyon",69009,Lyon,parallèle,pair,encoche,800,200,dégradé,non,aire périodique,oui,dégradé,30,,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri""],""times_of_day"":[[""08:00"",""19:00""]]}]",Mo-Fr 08:00-19:00,"candélabre,borne recharge",22,non,Pas de contrôle de durée
oui,,oui,b519e533-072e-44ee-804a-7492ac26fc56,GL-2310,grand_lyon_1047,2025-11-09T13:41:35Z,45.732744,4.826146,,"5 Rue Mathieu Varille, 69007 Lyon",69007,Lyon,parallèle,impair,chaussée,1600,250,dégradé,oui,aire périodique,oui,dégradé,30,caméra,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri""],""times_of_day"":[[""07:00"",""19:00""]]}]",Mo-Fr 07:00-19:00,,,oui,
oui,,oui,5584ccee-eeae-4f35-b008-c2e020c42cb6,GL-2311,grand_lyon_1112,2025-11-11T08:19:14Z,45.733257,4.853464,,"175 Route de Vienne, 69008 Lyon",69008,Lyon,parallèle,impair,encoche,1700,220,dégradé,oui,aire périodique,oui,dégradé,30,disque horodateur,"[{""days_of_week"":[""mon"",""tue"",""wed"",""thu"",""fri"",""sat""],""times_of_day"":[[""07:00"",""10:00""],[""16:30"",""19:00""]]}]","Mo-Sa 07:00-10:00,16:30-19:00",candélabre,,non,
